date,value
1990,300.350006
1991,297.429993
1992,299.799988
1993,298.390015
1994,303.190002
1995,309.630005
1996,310.329987
1997,316.959991
1998,312.679993
1999,311.339996
2000,315.23999
2001,318.730011
2002,316.570007
2003,317.700012
2004,319.230011
2005,318.309998
2006,308.950012
2007,317.690002
2008,324.339996
2009,323.869995
2010,309.51001
2011,308.660004
2012,318.850006
2013,321.450012
2014,325.209991
2015,320.029999
2016,321.549988
2017,319.609985
2018,327.200012
2019,324.869995
2020,324.950012
2021,319
2022,323.619995
2023,320.299988
2024,313.049988
2025,298.179993
2026,288.079987
2027,292.649994
2028,273.519989
2029,273.359985
2030,298.809998
2031,289.320007
2032,302.73999
2033,292.920013
2034,289.029999
2035,266.170013
2036,285.339996
2037,275.429993
2038,248.229996
2039,277.970001
2040,242.210007
2041,252.860001
2042,246.669998
2043,244.779999
2044,229.240005
2045,224.369995
2046,246.880005
2047,245.520004
2048,258.440002
2049,247.740005
2050,254.809998
2051,254.289993
2052,240.910004
2053,244.929993
2054,241.410004
2055,262.470001
2056,259.429993
2057,266.070007
2058,267.98999
2059,273.25
2060,287.049988
2061,284.429993
2062,286.690002
2063,282.799988
2064,276.929993
2065,268.369995
2066,276.100006
2067,275.029999
2068,282.970001
2069,283.170013
2070,278.579987
2071,287.730011
2072,293.799988
2073,289.070007
2074,293.160004
2075,297.559998
2076,300.630005
2077,303.73999
2078,310.130005
2079,315.01001
2080,311.410004
2081,307.649994
2082,309.540009
2083,307.709991
2084,314.959991
2085,313.140015
2086,319.230011
2087,316.850006
2088,318.890015
2089,316.730011
2090,318.109985
2091,318.25
2092,317.940002
2093,321.850006
2094,323.339996
2095,325.119995
2096,322.320007
2097,331.5
2098,333.459991
2099,343.98999
2100,352.839996
2101,335.899994
2102,338.799988
2103,342.98999
2104,352.079987
2105,351.589996
2106,351.730011
2107,349.720001
2108,358.869995
2109,366.529999
2110,360.059998
2111,364.839996
2112,353.630005
2113,361.779999
2114,364.799988
2115,364.109985
2116,364.109985
2117,373.850006
2118,372.690002
2119,381.369995
2120,383.01001
2121,383.679993
2122,381.910004
2123,388.230011
2124,390.899994
2125,386.089996
2126,385.309998
2127,393.429993
2128,388
2129,389.089996
2130,371.380005
2131,370.459991
2132,379.23999
2133,373.01001
