date,value
20200102,28868.80078
20200103,28634.88086
20200106,28703.38086
20200107,28583.67969
20200108,28745.08984
20200109,28956.90039
20200110,28823.76953
20200113,28907.05078
20200114,28939.66992
20200115,29030.2207
20200116,29297.64063
20200117,29348.09961
20200121,29196.03906
20200122,29186.26953
20200123,29160.08984
20200124,28989.73047
20200127,28535.80078
20200128,28722.84961
20200129,28734.44922
20200130,28859.43945
20200131,28256.0293
20200203,28399.81055
20200204,28807.63086
20200205,29290.84961
20200206,29379.76953
20200207,29102.50977
20200210,29276.82031
20200211,29276.33984
20200212,29551.41992
20200213,29423.31055
20200214,29398.08008
20200218,29232.18945
20200219,29348.0293
20200220,29219.98047
20200221,28992.41016
20200224,27960.80078
20200225,27081.35938
20200226,26957.58984
20200227,25766.64063
20200228,25409.35938
20200302,26703.32031
20200303,25917.41016
20200304,27090.85938
20200305,26121.2793
20200306,25864.7793
20200309,23851.01953
20200310,25018.16016
20200311,23553.2207
20200312,21200.61914
20200313,23185.61914
20200316,20188.51953
20200317,21237.38086
20200318,19898.91992
20200319,20087.18945
20200320,19173.98047
20200323,18591.92969
20200324,20704.91016
20200325,21200.55078
20200326,22552.16992
20200327,21636.7793
20200330,22327.48047
20200331,21917.16016
20200401,20943.50977
20200402,21413.43945
20200403,21052.5293
20200406,22679.99023
20200407,22653.85938
20200408,23433.57031
20200409,23719.36914
20200413,23390.76953
20200414,23949.75977
20200415,23504.34961
20200416,23537.67969
20200417,24242.49023
20200420,23650.43945
20200421,23018.88086
20200422,23475.82031
20200423,23515.25977
20200424,23775.26953
20200427,24133.7793
20200428,24101.55078
20200429,24633.85938
20200430,24345.7207
20200501,23723.68945
20200504,23749.75977
20200505,23883.08984
20200506,23664.64063
20200507,23875.89063
20200508,24331.32031
20200511,24221.99023
20200512,23764.7793
20200513,23247.9707
20200514,23625.33984
20200515,23685.41992
20200518,24597.36914
20200519,24206.85938
20200520,24575.90039
20200521,24474.11914
20200522,24465.16016
20200526,24995.10938
20200527,25548.26953
20200528,25400.64063
20200529,25383.10938
20200601,25475.01953
20200602,25742.65039
20200603,26269.89063
20200604,26281.82031
20200605,27110.98047
20200608,27572.43945
20200609,27272.30078
20200610,26989.99023
20200611,25128.16992
20200612,25605.53906
20200615,25763.16016
20200616,26289.98047
20200617,26119.60938
20200618,26080.09961
20200619,25871.46094
20200622,26024.96094
20200623,26156.09961
20200624,25445.93945
20200625,25745.59961
20200626,25015.55078
20200629,25595.80078
20200630,25812.88086
20200701,25734.9707
20200702,25827.35938
20200706,26287.0293
20200707,25890.17969
20200708,26067.2793
20200709,25706.08984
20200710,26075.30078
20200713,26085.80078
20200714,26642.58984
20200715,26870.09961
20200716,26734.71094
20200717,26671.94922
20200720,26680.86914
20200721,26840.40039
20200722,27005.83984
20200723,26652.33008
20200724,26469.89063
20200727,26584.76953
20200728,26379.2793
20200729,26539.57031
20200730,26313.65039
