date,value
20200102,24824.00977
20200103,24922.67969
20200104,25075.13086
20200105,25295.86914
20200108,25283
20200109,25385.80078
20200110,25369.13086
20200111,25574.73047
20200112,25803.18945
20200116,25792.85938
20200117,26115.65039
20200118,26017.81055
20200119,26071.7207
20200122,26214.59961
20200123,26210.81055
20200124,26252.11914
20200125,26392.78906
20200126,26616.71094
20200129,26439.48047
20200130,26076.89063
20200131,26149.39063
20200201,26186.71094
20200202,25520.96094
20200205,24345.75
20200206,24912.76953
20200207,24893.34961
20200208,23860.46094
20200209,24190.90039
20200212,24601.26953
20200213,24640.44922
20200214,24893.49023
20200215,25200.36914
20200216,25219.38086
20200220,24964.75
20200221,24797.7793
20200222,24962.48047
20200223,25309.99023
20200226,25709.26953
20200227,25410.0293
20200228,25029.19922
20200301,24608.98047
20200302,24538.06055
20200305,24874.75977
20200306,24884.11914
20200307,24801.35938
20200308,24895.21094
20200309,25335.74023
20200312,25178.60938
20200313,25007.0293
20200314,24758.11914
20200315,24873.66016
20200316,24946.50977
20200319,24610.91016
20200320,24727.26953
20200321,24682.31055
20200322,23957.89063
20200323,23533.19922
20200326,24202.59961
20200327,23857.71094
20200328,23848.41992
20200329,24103.10938
20200402,23644.18945
20200403,24033.35938
20200404,24264.30078
20200405,24505.2207
20200406,23932.75977
20200409,23979.09961
20200410,24408
20200411,24189.44922
20200412,24483.05078
20200413,24360.14063
20200416,24573.03906
20200417,24786.63086
20200418,24748.07031
20200419,24664.89063
20200420,24462.93945
20200423,24448.68945
20200424,24024.13086
20200425,24083.83008
20200426,24322.33984
20200427,24311.18945
20200430,24163.15039
20200501,24099.05078
20200502,23924.98047
20200503,23930.15039
20200504,24262.50977
20200507,24357.32031
20200508,24360.21094
20200509,24542.53906
20200510,24739.5293
20200511,24831.16992
20200514,24899.41016
20200515,24706.41016
20200516,24768.92969
20200517,24713.98047
20200518,24715.08984
20200521,25013.28906
20200522,24834.41016
20200523,24886.81055
20200524,24811.75977
20200525,24753.08984
20200529,24361.44922
20200530,24667.7793
20200531,24415.83984
20200601,24635.21094
20200604,24813.68945
20200605,24799.98047
20200606,25146.39063
20200607,25241.41016
20200608,25316.5293
20200611,25322.31055
20200612,25320.73047
20200613,25201.19922
20200614,25175.31055
20200615,25090.48047
20200618,24987.4707
20200619,24700.21094
20200620,24657.80078
20200621,24461.69922
20200622,24580.89063
20200625,24252.80078
20200626,24283.10938
20200627,24117.58984
20200628,24216.05078
20200629,24271.41016
20200702,24307.17969
20200703,24174.82031
20200705,24356.74023
20200706,24456.48047
20200709,24776.58984
20200710,24919.66016
20200711,24700.44922
20200712,24924.89063
20200713,25019.41016
20200716,25064.35938
20200717,25119.89063
20200718,25199.28906
20200719,25064.5
20200720,25058.11914
20200723,25044.28906
20200724,25241.93945
20200725,25414.09961
20200726,25527.07031
20200727,25451.06055
20200730,25306.83008
