date,value
20200102,1524.5
20200103,1549.199951
20200105,1571.599976
20200106,1566.199951
20200107,1571.800049
20200108,1557.400024
20200109,1551.699951
20200110,1557.5
20200112,1560.099976
20200113,1548.400024
20200114,1542.400024
20200115,1552.099976
20200116,1549
20200117,1558.800049
20200119,1557
20200121,1556.400024
20200122,1555.300049
20200123,1564.599976
20200124,1571.099976
20200126,1581.900024
20200127,1576.800049
20200128,1569.199951
20200129,1569.800049
20200130,1583.5
20200131,1582.900024
20200202,1594
20200203,1577.199951
20200204,1550.400024
20200205,1557.800049
20200206,1565.099976
20200207,1568.599976
20200209,1577.599976
20200210,1574.699951
20200211,1565.599976
20200212,1567.400024
20200213,1575.099976
20200214,1582.699951
20200216,1585.099976
20200218,1600
20200219,1607.5
20200220,1616.599976
20200221,1644.599976
20200223,1667.099976
20200224,1672.400024
20200225,1646.900024
20200226,1640
20200227,1643.099976
20200228,1642.5
20200302,1566.699951
20200303,1594.800049
20200304,1644.400024
20200305,1643
20200306,1668
20200309,1672.400024
20200310,1675.699951
20200311,1660.300049
20200312,1642.300049
20200313,1590.300049
20200316,1516.699951
20200317,1486.5
20200318,1525.800049
20200319,1477.900024
20200320,1479.300049
20200322,1495.599976
20200323,1575.699951
20200324,1696.099976
20200325,1638.099976
20200326,1636.599976
20200327,1630.599976
20200329,1664.199951
20200330,1637.199951
20200331,1592.400024
20200401,1605.199951
20200402,1637.699951
20200403,1648.800049
20200406,1730.699951
20200407,1693.900024
20200408,1680.699951
20200409,1740.599976
20200412,1738.199951
20200413,1769.400024
20200414,1751.300049
20200415,1743.300049
20200416,1732.300049
20200417,1694.5
20200419,1690.199951
20200420,1707.699951
20200421,1707.300049
20200422,1735.300049
20200423,1748.099976
20200424,1745.699951
20200426,1741.400024
20200427,1720.300049
20200428,1721
20200429,1731.800049
20200430,1713.400024
20200501,1694.199951
20200503,1704.900024
20200504,1700.900024
20200505,1712.199951
20200506,1710.599976
20200507,1723.199951
20200508,1704.800049
20200510,1708.400024
20200511,1713.900024
20200512,1705.900024
20200513,1726.699951
20200514,1741.900024
20200515,1754.099976
20200517,1766.599976
20200518,1737.099976
20200519,1749.5
20200520,1749.5
20200521,1725.599976
20200522,1734.699951
20200524,1730.599976
20200526,1735.5
20200527,1728.199951
20200528,1726.800049
20200529,1728.300049
20200531,1755.199951
20200601,1751.699951
20200602,1750.300049
20200603,1734
20200604,1704.800049
20200605,1727.400024
20200607,1684.599976
20200608,1683
20200609,1705.099976
20200610,1721.900024
20200611,1720.699951
20200612,1739.800049
20200614,1740.699951
20200615,1737.300049
20200616,1727.199951
20200617,1736.5
20200618,1735.599976
20200619,1731.099976
20200621,1761.5
20200622,1753
20200623,1766.400024
20200624,1782
20200625,1775.099976
20200626,1770.599976
20200628,1785.300049
20200629,1780.300049
20200630,1781.199951
20200701,1800.5
20200702,1779.900024
20200705,1787.099976
20200706,1790
20200707,1793.5
20200708,1809.900024
20200709,1820.599976
20200710,1803.800049
20200712,1804.5
20200713,1801.900024
20200714,1811.699951
20200715,1813.800049
20200716,1807.099976
20200717,1812.099976
20200719,1810.300049
20200720,1819.300049
20200721,1846
20200722,1868.900024
20200723,1882.800049
20200724,1900.300049
20200726,1910.199951
20200727,1958.800049
20200728,1950
20200729,1959
20200730,1973.099976
