date,value
20200102,1313.699951
20200103,1316.199951
20200104,1319.400024
20200105,1320.300049
20200108,1318.599976
20200109,1311.699951
20200110,1317.400024
20200111,1320.599976
20200112,1333.400024
20200116,1335.400024
20200117,1338
20200118,1326
20200119,1331.900024
20200122,1330.900024
20200123,1335.699951
20200124,1355.900024
20200125,1362.400024
20200126,1351.599976
20200130,1335.400024
20200131,1339
20200201,1344.300049
20200202,1333.699951
20200205,1333
20200206,1326.099976
20200207,1311.599976
20200208,1316.900024
20200209,1313.099976
20200212,1324.199951
20200213,1328.099976
20200214,1355.5
20200215,1352.099976
20200216,1353.199951
20200220,1328.800049
20200221,1330
20200222,1330.599976
20200223,1328.199951
20200226,1330.699951
20200227,1315.5
20200228,1315.5
20200301,1302.900024
20200302,1321.099976
20200305,1318.099976
20200306,1333.599976
20200307,1326
20200308,1319.900024
20200309,1322.400024
20200312,1319.400024
20200313,1325.900024
20200314,1324.400024
20200315,1316.800049
20200316,1311.300049
20200319,1316.800049
20200320,1311.099976
20200321,1320.699951
20200322,1326.599976
20200323,1349.300049
20200326,1354.400024
20200327,1341.300049
20200328,1324.199951
20200329,1322.800049
20200402,1342.099976
20200403,1332.800049
20200404,1335.800049
20200405,1324.300049
20200406,1331.900024
20200409,1336.300049
20200410,1342
20200411,1356.5
20200412,1338.400024
20200413,1344.800049
20200416,1347.5
20200417,1347.199951
20200418,1351.199951
20200419,1346.800049
20200420,1336.699951
20200423,1322.5
20200424,1331.400024
20200425,1321.199951
20200426,1316.300049
20200427,1320.300049
20200430,1316.199951
20200501,1303.800049
20200502,1302.599976
20200503,1310.699951
20200504,1312.699951
20200507,1312.199951
20200508,1312
20200509,1311.300049
20200510,1320.800049
20200511,1319
20200514,1316.5
20200515,1288.900024
20200516,1290.199951
20200517,1288.199951
20200518,1290.199951
20200521,1290.199951
20200522,1291.699951
20200523,1289.300049
20200524,1303.699951
20200525,1303.300049
20200529,1298.699951
20200530,1301.5
20200531,1300.099976
20200601,1294.800049
20200604,1293.099976
20200605,1297.5
20200606,1297.099976
20200607,1298.699951
20200608,1298.099976
20200611,1298.900024
20200612,1295.099976
20200613,1296.900024
20200614,1304
20200615,1274.599976
20200618,1276.199951
20200619,1275.599976
20200620,1271.199951
20200621,1267.199951
20200622,1267.400024
20200625,1265.599976
20200626,1256.599976
20200627,1252.800049
20200628,1247.800049
20200629,1251.300049
20200702,1239.800049
20200705,1257.300049
20200706,1254.300049
20200709,1258.099976
20200710,1253.800049
20200711,1242.800049
20200712,1245
20200713,1239.599976
20200716,1238.099976
20200717,1225.699951
20200718,1226.300049
20200719,1222.400024
20200720,1229.5
20200723,1224
20200724,1223.900024
20200725,1231.400024
20200726,1225.300049
20200727,1222.599976
20200730,1221.300049
