date,value
20200104,19594.16016
20200105,19520.68945
20200106,19454.33008
20200110,19301.43945
20200111,19364.66992
20200112,19134.69922
20200113,19287.2793
20200116,19095.24023
20200117,18813.5293
20200118,18894.36914
20200119,19072.25
20200120,19137.91016
20200123,18891.0293
20200124,18787.99023
20200125,19057.5
20200126,19402.39063
20200127,19467.40039
20200130,19368.84961
20200131,19041.33984
20200201,19148.08008
20200202,18914.58008
20200203,18918.19922
20200206,18976.71094
20200207,18910.7793
20200208,19007.59961
20200209,18907.66992
20200210,19378.92969
20200213,19459.15039
20200214,19238.98047
20200215,19437.98047
20200216,19347.5293
20200217,19234.61914
20200220,19251.08008
20200221,19381.43945
20200222,19379.86914
20200223,19371.46094
20200224,19283.53906
20200227,19107.4707
20200228,19118.99023
20200301,19393.53906
20200302,19564.80078
20200303,19469.16992
20200306,19379.14063
20200307,19344.15039
20200308,19254.0293
20200309,19318.58008
20200310,19604.60938
20200313,19633.75
20200314,19609.5
20200315,19577.38086
20200316,19590.14063
20200317,19521.58984
20200321,19455.88086
20200322,19041.38086
20200323,19085.31055
20200324,19262.5293
20200327,18985.58984
20200328,19202.86914
20200329,19217.48047
20200330,19063.2207
20200331,18909.25977
20200403,18983.23047
20200404,18810.25
20200405,18861.26953
20200406,18597.06055
20200407,18664.63086
20200410,18797.88086
20200411,18747.86914
20200412,18552.60938
20200413,18426.83984
20200414,18335.63086
20200417,18355.25977
20200418,18418.58984
20200419,18432.19922
20200420,18430.49023
20200421,18620.75
20200424,18875.88086
20200425,19079.33008
20200426,19289.42969
20200427,19251.86914
20200428,19196.74023
20200501,19310.51953
20200502,19445.69922
20200508,19895.69922
20200509,19843
20200510,19900.08984
20200511,19961.55078
20200512,19883.90039
20200515,19869.84961
20200516,19919.82031
20200517,19814.88086
20200518,19553.85938
20200519,19590.75977
20200522,19678.2793
20200523,19613.2793
20200524,19742.98047
20200525,19813.13086
20200526,19686.83984
20200529,19682.57031
20200530,19677.84961
20200531,19650.57031
20200601,19860.0293
20200602,20207.2793
20200605,20200.82031
20200606,19979.90039
20200607,19984.61914
20200608,19909.25977
20200609,20013.25977
20200612,19908.58008
20200613,19898.75
20200614,19883.51953
20200615,19831.82031
20200616,19943.25977
20200619,20067.75
20200620,20230.41016
20200621,20138.78906
20200622,20110.50977
20200623,20132.66992
20200626,20153.34961
20200627,20225.08984
20200628,20130.41016
20200629,20220.30078
20200630,20033.42969
20200703,20055.80078
20200704,20032.34961
20200705,20081.63086
20200706,19994.06055
20200707,19929.08984
20200710,20080.98047
20200711,20195.48047
20200712,20098.38086
20200713,20099.81055
20200714,20118.85938
20200718,19999.91016
20200719,20020.85938
20200720,20144.58984
20200721,20099.75
20200724,19975.66992
20200725,19955.19922
20200726,20050.16016
20200727,20079.64063
20200728,19959.83984
20200731,19925.17969
