date,value
20200102,61.18
20200103,63.049999
20200106,63.27
20200107,62.700001
20200108,59.610001
20200109,59.560001
20200110,59.040001
20200113,58.080002
20200114,58.23
20200115,57.810001
20200116,58.52
20200117,58.540001
20200121,58.34
20200122,56.740002
20200123,55.59
20200124,54.189999
20200127,53.139999
20200128,53.48
20200129,53.330002
20200130,52.139999
20200131,51.560001
20200203,50.110001
20200204,49.610001
20200205,50.75
20200206,50.950001
20200207,50.32
20200210,49.57
20200211,49.939999
20200212,51.169998
20200213,51.419998
20200214,52.049999
20200218,52.049999
20200219,53.290001
20200220,53.779999
20200221,53.380001
20200224,51.43
20200225,49.900002
20200226,48.73
20200227,46.799999
20200228,47.09
20200302,44.759998
20200303,46.75
20200304,47.18
20200305,46.779999
20200306,45.900002
20200308,32.5
20200309,41.279999
20200310,31.129999
20200311,34.360001
20200312,32.98
20200313,32.93
20200315,30.389999
20200316,31.73
20200317,28.700001
20200318,27.33
20200319,20.83
20200320,25.91
20200322,21.35
20200323,24.49
20200324,24.49
20200325,24.190001
20200326,23
20200327,21.84
20200329,20.35
20200330,20.459999
20200331,20.24
20200401,21.200001
20200402,24.76
20200403,29
20200406,26.799999
20200407,26.08
20200408,26.33
20200409,23.190001
20200412,23.129999
20200413,22.93
20200414,20.860001
20200415,20.26
20200416,19.950001
20200417,18.120001
20200419,16.99
20200420,-2.6
20200421,9.06
20200422,14.31
20200423,17.09
20200424,17.18
20200426,16.559999
20200427,12.44
20200428,13.35
20200429,16.01
20200430,15.06
20200501,18.84
20200503,18.629999
20200504,19.780001
20200505,25.870001
20200506,26.49
20200507,23.459999
20200508,24.629999
20200510,24.67
20200511,26.17
20200512,25.16
20200513,25.57
20200514,27.73
20200515,29.65
20200517,30.26
20200518,33.23
20200519,32.360001
20200520,33.59
20200521,33.959999
20200522,33.560001
20200524,32.93
20200526,33.25
20200527,34.349998
20200528,32.810001
20200529,33.709999
20200531,35.27
20200601,35.490002
20200602,35.439999
20200603,36.810001
20200604,37.290001
20200605,37.41
20200607,40.360001
20200608,39.549999
20200609,38.189999
20200610,38.939999
20200611,39.599998
20200612,36.34
20200614,35.5
20200615,36.259998
20200616,37.119999
20200617,38.650002
20200618,38.209999
20200619,39.049999
20200621,39.77
20200622,39.830002
20200623,40.73
20200624,40.369999
20200625,38.009998
20200626,38.720001
20200628,37.849998
20200629,38.490002
20200630,39.700001
20200701,39.27
20200702,39.82
20200705,40.380001
20200706,40.650002
20200707,40.630001
20200708,40.619999
20200709,40.900002
20200710,39.619999
20200712,40.209999
20200713,40.549999
20200714,40.73
20200715,41.02
20200716,40.77
20200717,40.57
20200719,40.639999
20200720,40.650002
20200721,41.759998
20200722,41.709999
20200723,41.080002
20200724,41.34
20200726,41.110001
20200727,41.73
20200728,41.119999
20200729,41.27
20200730,40.32
