date,value
20200103,52.330002
20200104,53.259998
20200105,53.759998
20200106,53.990002
20200109,51.959999
20200110,50.82
20200111,52.25
20200112,53.009998
20200113,52.369999
20200117,52.48
20200118,51.080002
20200119,51.369999
20200120,52.419998
20200123,52.75
20200124,53.18
20200125,52.75
20200126,53.779999
20200127,53.169998
20200130,52.630001
20200131,52.810001
20200201,53.880001
20200202,53.540001
20200203,53.830002
20200206,53.009998
20200207,52.169998
20200208,52.34
20200209,53
20200210,53.860001
20200213,52.93
20200214,53.200001
20200215,53.110001
20200216,53.360001
20200217,53.400002
20200221,54.060001
20200222,53.59
20200223,54.450001
20200224,53.990002
20200227,54.049999
20200228,54.009998
20200301,53.830002
20200302,52.610001
20200303,53.330002
20200306,53.200001
20200307,53.139999
20200308,50.279999
20200309,49.279999
20200310,48.490002
20200313,48.400002
20200314,47.720001
20200315,48.860001
20200316,48.75
20200317,48.779999
20200320,48.220001
20200321,47.34
20200322,48.040001
20200323,47.700001
20200324,47.970001
20200327,47.73
20200328,48.369999
20200329,49.509998
20200330,50.349998
20200331,50.599998
20200403,50.240002
20200404,51.029999
20200405,51.150002
20200406,51.700001
20200407,52.240002
20200410,53.080002
20200411,53.400002
20200412,53.110001
20200413,53.18
20200417,52.650002
20200418,52.41
20200419,50.439999
20200420,50.27
20200421,49.619999
20200424,49.23
20200425,49.560001
20200426,49.619999
20200427,48.970001
20200428,49.330002
20200501,48.84
20200502,47.66
20200503,47.82
20200504,45.52
20200505,46.220001
20200508,46.43
20200509,45.880001
20200510,47.330002
20200511,47.830002
20200512,47.84
20200515,48.849998
20200516,48.66
20200517,49.07
20200518,49.349998
20200519,50.330002
20200522,50.73
20200523,51.470001
20200524,51.360001
20200525,48.900002
20200526,49.799999
20200530,49.66
20200531,48.32
20200601,48.360001
20200602,47.66
20200605,47.400002
20200606,48.189999
20200607,45.720001
20200608,45.639999
20200609,45.830002
20200612,46.080002
20200613,46.459999
20200614,44.73
20200615,44.459999
20200616,44.740002
20200619,44.200001
20200620,43.23
20200621,42.529999
20200622,42.740002
20200623,43.009998
20200626,43.380001
20200627,44.240002
20200628,44.740002
20200629,44.93
20200630,46.040001
20200705,45.130001
20200706,45.52
20200707,44.23
20200710,44.400002
20200711,45.040001
20200712,45.490002
20200713,46.080002
20200714,46.540001
20200717,46.02
20200718,46.400002
20200719,47.119999
20200720,46.790001
20200721,45.77
20200724,46.34
20200725,47.889999
20200726,48.75
20200727,49.040001
20200728,49.709999
