date,value
20200102,41626.64063
20200103,41464.60938
20200106,40676.62891
20200107,40869.46875
20200108,40817.73828
20200109,41452.35156
20200110,41599.71875
20200113,41859.69141
20200114,41952.62891
20200115,41872.73047
20200116,41932.55859
20200117,41945.37109
20200120,41528.91016
20200121,41323.80859
20200122,41115.37891
20200123,41386.39844
20200124,41613.19141
20200127,41155.12109
20200128,40966.85938
20200129,41198.66016
20200130,40913.82031
20200131,40723.48828
20200203,39872.30859
20200204,40789.37891
20200205,41142.66016
20200206,41306.03125
20200207,41141.85156
20200210,40979.62109
20200211,41216.14063
20200212,41565.89844
20200213,41459.78906
20200214,41257.73828
20200217,41055.69141
20200218,40894.37891
20200219,41323
20200220,41170.12109
20200224,40363.23047
20200225,40281.19922
20200226,39888.96094
20200227,39745.66016
20200228,38297.28906
20200302,38144.01953
20200303,38623.69922
20200304,38409.48047
20200305,38470.60938
20200306,37576.62109
20200309,35634.94922
20200311,35697.39844
20200312,32778.14063
20200313,34103.48047
20200316,31390.07031
20200317,30579.08984
20200318,28869.50977
20200319,28288.23047
20200320,29915.96094
20200323,25981.24023
20200324,26674.0293
20200325,28535.7793
20200326,29946.76953
20200327,29815.58984
20200330,28440.32031
20200331,29468.49023
20200401,28265.31055
20200403,27590.94922
20200407,30067.21094
20200408,29893.96094
20200409,31159.61914
20200413,30690.01953
20200415,30379.81055
20200416,30602.60938
20200417,31588.7207
20200420,31648
20200421,30636.71094
20200422,31379.55078
20200423,31863.08008
20200424,31327.2207
20200427,31743.08008
20200428,32114.51953
20200429,32720.16016
20200430,33717.62109
20200504,31715.34961
20200505,31453.50977
20200506,31685.75
20200507,31443.38086
20200508,31642.69922
20200511,31561.2207
20200512,31371.11914
20200513,32008.60938
20200514,31122.89063
20200515,31097.73047
20200518,30028.98047
20200519,30196.16992
20200520,30818.60938
20200521,30932.90039
20200522,30672.58984
20200526,30609.30078
20200527,31605.2207
20200528,32200.58984
20200529,32424.09961
20200601,33303.51953
20200602,33825.53125
20200603,34109.53906
20200604,33980.69922
20200605,34287.23828
20200608,34370.57813
20200609,33956.69141
20200610,34247.05078
20200611,33538.37109
20200612,33780.89063
20200615,33228.80078
20200616,33605.21875
20200617,33507.92188
20200618,34208.05078
20200619,34731.73047
20200622,34911.32031
20200623,35430.42969
20200624,34868.98047
20200625,34842.10156
20200626,35171.26953
20200629,34961.51953
20200630,34915.80078
20200701,35414.44922
20200702,35843.69922
20200703,36021.42188
20200706,36487.28125
20200707,36674.51953
20200708,36329.01172
20200709,36737.69141
20200710,36594.32813
20200713,36693.69141
20200714,36033.05859
20200715,36051.80859
20200716,36471.67969
20200717,37020.14063
20200720,37418.98828
20200721,37930.32813
20200722,37871.51953
20200723,38140.46875
20200724,38128.89844
20200727,37934.73047
20200728,38492.94922
20200729,38071.12891
20200730,37736.07031
